iter	Passed	Remaining
0	3	3210
1	6	3132
2	9	3024
3	12	3013
4	15	3148
5	18	3069
6	21	3001
7	23	2930
8	25	2858
9	28	2838
10	31	2808
11	33	2773
12	36	2733
13	39	2761
14	41	2740
15	44	2750
16	47	2771
17	50	2769
18	53	2756
19	55	2735
20	58	2723
21	60	2702
22	63	2710
23	66	2696
24	68	2671
25	71	2661
26	73	2658
27	76	2646
28	78	2631
29	81	2622
30	84	2640
31	87	2633
32	89	2631
33	93	2645
34	95	2637
35	98	2638
36	100	2628
37	103	2613
38	105	2599
39	107	2588
40	110	2579
41	112	2566
42	114	2551
43	116	2538
44	119	2527
45	121	2525
46	124	2516
47	126	2503
48	128	2489
49	130	2479
50	132	2472
51	135	2461
52	137	2449
53	139	2438
54	141	2427
55	143	2415
56	145	2407
57	147	2399
58	149	2389
59	151	2380
60	154	2373
61	156	2366
62	158	2360
63	160	2351
64	162	2343
65	165	2335
66	167	2326
67	169	2318
68	172	2332
69	176	2345
70	179	2348
71	181	2345
72	185	2354
73	187	2347
74	190	2343
75	192	2343
76	195	2345
77	198	2348
78	201	2350
79	205	2359
80	207	2353
81	209	2346
82	211	2340
83	214	2334
84	216	2332
85	219	2329
86	222	2331
87	225	2338
88	227	2333
89	230	2331
90	232	2325
91	234	2319
92	237	2313
93	239	2306
94	241	2300
95	243	2296
96	246	2294
97	248	2288
98	250	2283
99	253	2277
100	255	2272
101	257	2267
102	259	2260
103	261	2253
104	263	2247
105	265	2241
106	267	2234
107	270	2236
108	272	2229
109	275	2225
110	277	2225
111	280	2220
112	282	2217
113	284	2213
114	287	2208
115	290	2210
116	292	2204
117	294	2200
118	297	2200
119	299	2194
120	301	2190
121	303	2187
122	306	2182
123	308	2178
124	310	2173
125	312	2167
126	314	2163
127	316	2159
128	319	2154
129	321	2150
130	323	2147
131	325	2141
132	328	2143
133	330	2137
134	332	2131
135	335	2128
136	336	2122
137	338	2116
138	341	2112
139	343	2107
140	345	2102
141	347	2100
142	350	2098
143	352	2093
144	354	2090
145	356	2085
146	358	2079
147	360	2076
148	362	2071
149	365	2068
150	367	2069
151	370	2065
152	372	2061
153	374	2057
154	376	2053
155	378	2048
156	380	2044
157	382	2040
158	384	2035
159	387	2031
